"","DocId","Topic1","Topic2","Topic3","Topic4","Topic5","topicluster","Year","title","category_sup","authors","nrc_negative","nrc_positive","nrc_ratio","copeopi","tw_positive","tw_ratio","tw_neutral","tw_negative","tw_nonsent","tw_nonword"
"1","1905-2-1-66",0.00131148077032586,0.343071394915373,0.638688856141868,0.0130625844302088,0.0038656837422232,"2",1905,"光緖三十年中國事紀","其它",NA,0.0476190476190476,0.142857142857143,0.0952380952380952,0,0.5,0,0,0.5,0,0
"2","1905-2-10-47",0.000388367769773545,0.701878095394693,0.191233792585845,0.101906379992327,0.00459336425736165,"2",1905,"署兩江總督周因日僧傳教復外務部函","宗敎",NA,0.181208053691275,0.161073825503356,-0.0201342281879195,0.0420599666666667,0.974358974358974,0.615384615384615,0.0512820512820513,0.358974358974359,0.91025641025641,0
"3","1905-2-5-64",0.00293862447953437,0.704233168707277,0.148990869723493,0.0276356114563998,0.116201725633296,"2",1905,"光緖三十一年四月中國事紀","其它",NA,0.2,0.2,0,0.0312626785714286,0.571428571428571,0.142857142857143,0,0.428571428571429,3.42857142857143,0
"4","1905-2-6-54",0.000829555218134319,0.00859974206146701,0.705897426799506,0.000630117369300355,0.284043158551592,"1",1905,"日本實踐女學校附屬中國女子留學生師範工藝速成科規則","教育",NA,0.113074204946996,0.208480565371025,0.0954063604240283,0.126019286217949,1.25,0.974358974358974,0.0897435897435897,0.275641025641026,1.17948717948718,0
"5","1905-2-7-67",0.000438485451531932,0.204853803267259,0.78370327251605,0.00573230392805067,0.00527213483710904,"1",1905,"各省教務彙誌","宗敎",NA,0.129032258064516,0.225806451612903,0.0967741935483871,0.1236942125,0.9375,0.75,0,0.1875,0.4375,0
"6","1905-2-9-37",0.000171003145840144,0.558102246494487,0.425088704535287,0.00230100247350607,0.0143370433508804,"2",1905,"各省教育彙誌","教育",NA,0,0.233333333333333,0.233333333333333,0.17197905,1.75,1.75,0.5,0,1,0
"7","1905-2-9-38",9.20638133165869e-05,0.420979381439771,0.572659518209323,0.00106712815855734,0.00520190837903217,"2",1905,"各省游學彙誌","教育",NA,0.105263157894737,0.210526315789474,0.105263157894737,0.10063589673913,0.869565217391304,0.760869565217391,0.0434782608695652,0.108695652173913,1.3695652173913,0.0217391304347826
"8","1906-3-11-35",0.00465766215570865,0.00464923929789027,0.988887328881895,0.00114474460347459,0.000661025061031407,"1",1906,"籌辦廣西全省鐵路芻議","工商","['留日學生']",0.137535816618911,0.154727793696275,0.0171919770773639,0.0378038800458716,0.862385321100917,0.380733944954128,0.105504587155963,0.481651376146789,1.24770642201835,0
"9","1906-3-11-56",0.00332423981073699,0.0487435056046228,0.932964132721985,0.0128365835667349,0.00213153829592035,"1",1906,"光緖三十二年九月中國事紀","其它",NA,0.1,0.3,0.2,NA,NA,NA,NA,NA,NA,NA
"10","1906-3-3-17",8.93419724772054e-05,0.888350085053748,0.0884878797085101,0.0026881946245031,0.020384498640762,"2",1906,"各省教育彙誌","教育",NA,0.142857142857143,0.142857142857143,0,0.21883875,1,1,0,0,0,0
"11","1906-3-4-39",0.00355281127945985,0.000471209202069229,0.992947269195917,0.00278193700539294,0.00024677331716065,"1",1906,"直隸山東江蘇留日學生爲津鎭鐵路事再上政府及三省督撫書","工商",NA,0.224778761061947,0.145132743362832,-0.0796460176991151,0.0169720306018735,0.733021077283372,0.0983606557377049,0.0960187353629977,0.634660421545667,0.782201405152225,0
"12","1906-3-5-19",0.0019114925832803,0.449729574261453,0.249349111677169,0.0294077898611097,0.269602031616988,"2",1906,"恭讀三月初一日上諭謹注","教育",NA,0.178571428571429,0.181122448979592,0.00255102040816327,0.0452651892621723,0.861423220973783,0.374531835205992,0.0711610486891386,0.48689138576779,1.05992509363296,0
"13","1906-3-9-58",0.00753870536673897,0.517708317982794,0.285713818101439,0.0664564548257226,0.122582703723306,"2",1906,"光緖三十二年七月中國事紀","其它",NA,0.333333333333333,0.333333333333333,0,-0.025,0,-0.5,0,0.5,2,0
"14","1907-4-11-13",7.11758202059619e-05,0.813490362710711,0.0133215203303977,0.00131225932368925,0.171804681814996,"2",1907,"教育感言","教育",NA,0.232911392405063,0.167088607594937,-0.0658227848101266,0.0219326420948617,0.944664031620553,0.276679841897233,0.177865612648221,0.66798418972332,0.956521739130435,0.00395256916996047
"15","1907-4-2-26",0.000148939059864578,0.00253220842839513,0.996770259742029,0.000139474857963058,0.000409117911747866,"1",1907,"學部奏酌擬管理留日學生章程並設總副監督摺","教育",NA,0.145945945945946,0.227027027027027,0.0810810810810811,0.113464852155172,0.758620689655172,0.405172413793103,0.0517241379310345,0.353448275862069,1.12068965517241,0
"16","1907-4-3-25",0.000322298386962031,0.00658777791442024,0.991442772369563,0.000399042717332764,0.00124810861172249,"1",1907,"學部奏續擬管理游日學生章程摺","教育",NA,0.273972602739726,0.123287671232877,-0.150684931506849,-0.0809369153846154,0.82051282051282,0.333333333333333,0,0.487179487179487,0.461538461538462,0
"17","1907-4-4-14",0.000572026224441145,0.00528814835157387,0.992942265485156,0.000998035488358944,0.00019952445047021,"1",1907,"吏部奏詳訂裁撤小京官及筆帖式改用內外官階班次摺片","國內",NA,0.0930232558139535,0.197674418604651,0.104651162790698,0.0444241779411765,1.26470588235294,1.05882352941176,0.0882352941176471,0.205882352941176,1.20588235294118,0
"18","1907-4-4-30",0.000363220762633983,0.12039428420318,0.863925725563271,0.00108615955219093,0.0142306099187243,"1",1907,"中國留日學生教育協議會會章","教育",NA,0.132183908045977,0.183908045977011,0.0517241379310345,0.0510359838541667,0.833333333333333,0.479166666666667,0.0729166666666667,0.354166666666667,1.36458333333333,0
